number,name,zone,manu,description,time,maps,image
12,24.5 Space,C,"Cold drip, Black Ice, Earl Grey Milk Tea",เป็นร้านกาแฟ Specialty เล็ก ๆ บรรยากาศสบาย ๆ มีเมล็ดกาแฟให้เลือกหลากหลาย และมีน้องหมาแสนรู้ประจำอยู่ที่ร้าน,เปิดให้บริการทุกวัน 7:00-18:00 ,https://maps.app.goo.gl/MdasYyBN5KhwdfzCA,https://drive.google.com/file/d/1ED7AvLcKkehUbRmIJdvoacHQuua2TtzI/view?usp=drive_link,,,,,,,,,,,,,,,,
13,ก๋วยเตี๋ยวเป็ดรสเด็ดสามย่าน,C,"ก๋วยเตี๋ยวเป็ด, เกาเหลาเป็ดตุ๋นหม้อดิน
","เปิดมากว่า60 ปี บะหมี่เส้นแบน ซุปพะโล้หอม หวาน เค็ม รสชาติกลมกล่อม เนื้อเป็ดเนื้อนุ่ม ตุ๋นจนเปื่อย ไม่มีกลิ่นสาบ
",7:00 - 16:00 (หยุดทุกวันศุกร์),https://maps.app.goo.gl/ZyygSxMFUPCqtbsP7,,,,,,,,,,,,,,,,,
14,"ก๋วยเตี๋ยวเรือนายเกรียง สามย่าน
",C,"ก๋วยเตี๋ยวหมูน้ำตก 
","ก๋วยเตี๋ยวเรืออร่อย ไม่ต้องพึ่งเครื่องปรุง รสชาติน้ำซุปเข้มข้น กลิ่นหอม เครื่องจุก ๆ
",เปิดให้บริการทุกวัน 10:00 - 20:00,https://maps.app.goo.gl/3j4Ytx7HwcZVMryu7,https://drive.google.com/open?id=1S2HqOQoAba5LjywBDXizjQ7A8oOgwlYR,,,,,,,,,,,,,,,,
15,ข้าวมันไก่สองสีสามย่าน ,C,"ข้าวมันไก่ ข้าวไก่ทอด ข้าวมันไก่สองสี
","ร้านเก่าแก่เปิดมากว่า 60 ปี ตั้งแต่ พ.ศ. 2508 การันตีรสชาติด้วยประสบการณ์การทำข้าวมันไก่ของเจ้าของร้านที่ขายมาตั้งแต่อายุ 17 จนตอนนี้อายุ 70 ไก่ต้มเนื้อนุ่ม ไก่ทอดกรอบ ๆ ทานคู่กับข้าวมันร้อน ๆ ที่ทั้งหอม ทั้งกลมกล่อม กับน้ำซุปใสซดคล่องคอ
",เปิดให้บริการทุกวัน 7:00 - 16:00,https://maps.app.goo.gl/t7CkuRXfpNEKQoSS8,https://drive.google.com/file/d/1DFajBNs1NkAFx-u3JIM7Cc1vTm36F8Rz/view?usp=drive_link,,,,,,,,,,,,,,,,
16,ข้าวหมกไก่สามย่าน,C,"ข้าวหมกไก่, ข้าวหมกเนื้อ, ซุปแซ่บไก่, ก๋วยเตี๋ยวเนื้อ",เปิดให้บริการมายาวนานกว่า 20 ปี ราคาย่อมเยา รสชาติอร่อยทานง่าย ข้าวหมกรสกลมกล่อมจัดเต็มเครื่องเทศ ทานคู่กับเมนูซุปไก่แซ่บ ซดแล้วคล่องคอ หรือก๋วยเตี๋ยวเนื้อรสเข้มข้น,7:00-15:00 (หยุดทุกวันอาทิตย์),https://g.co/kgs/dGQd4XW,https://drive.google.com/open?id=1Kd5Nldmt0eLZLE4vM8bNOm9B3RNAoaFG,,,,,,,,,,,,,,,,
17,"ครัวจุฬา 48 
",C,"หมูกรอบพริกเกลือ ไข่ข้นปูผัดผงกะหรี่
",ร้านอาหารตามสั่งเมนูหลากหลาย รสชาติเข้มข้น ราคาเอาใจนิสิต และคนวัยทำงาน เป็น Comfort Food ที่มัดใจคนในย่าน เด่นดังเรื่องการทำเมนูไข่ข้นผงกะหรี่ ไข่นุ่ม ๆ ผัดผงกะหรี่ นัว ๆ เหยาะพริกน้ำปลาเพิ่มความกลมกล่อม หรือจะเป็นเมนูคั่วพริกเกลือหอม ๆ ข้าวสวยร้อน ๆ ก็อร่อยไม่แพ้ใคร,วันจันทร์ - วันศุกร์ 9:00 - 20:30 (หยุดทุกวันเสาร์ - วันอาทิตย์),https://maps.app.goo.gl/t7CkuRXfpNEKQoSS8,,,,,,,,,,,,,,,,,
18,"เค้กต้นกก​สามย่าน
",C,"เค้ก​ส้ม ​เค้ก​ช็อกโกแลต
","เค้กหน้านิ่มที่อยู่คู่สามย่าน ยาวนานกว่า 20 ปี รสชาติเนื้อเค้กหวานกำลังดี บวกกับซอสบนหน้านิ่มที่เป็นเอกลักษณ์ ไม่ว่าจะถามใครในสามย่าน หากพูกถึงเค้กหน้านิ่ม ร้านต้นกกสามย่านต้องเป็นตัวเลือกลำดับแรกอย่างแน่นอน
",เปิดให้บริการทุกวัน 9:00 - 20:00,https://maps.app.goo.gl/g25EfnpiQCekMsu18,https://drive.google.com/open?id=17umGlDSsV7d0WCxisAhDBbLsofV5IMrf,,,,,,,,,,,,,,,,
19,เจ๊นา คิทเช่น,C,"เนื้อปูก้อนผัดผงกะหรี่ หมึกกล้วยไข่เค็ม ข้าวผัดเนื้อปูก้ามแด
","เริ่มจากการเป็นแผงสดในตลาดสามย่านมากกว่า 50 ปี ต่อยอดด้วยการเปิดเป็นร้านอาหารของตนเอง ใช้วัตถุดิบสดๆของเราเอง ซอสปรุงเองโฮมเมดวัตถุดิบพรีเมี่ยม คัดแต่ของดีของอร่อยให้ได้ทานกันในราคาย่อมเยา
",เปิดให้บริการทุกวัน 9:30 - 19:30,https://maps.app.goo.gl/RpurcJZifh5JZu1FA,https://drive.google.com/open?id=1NPCQx1MX0dieu4Yzga3yIhk_iwgasVvG,,,,,,,,,,,,,,,,
20,เจ๊หุย สุกี้โบราณ Hui Suki ,C,"ปอเปี๊ยะสวรรค์, หมูหมักไข่ตอก","บุฟเฟต์สุกี้โบราณ สูตรต้นตำรับทางร้านที่เปิดมากกว่า 18 ปี เนื้อหมูเนื้อวัวหมักนุ่มสูตรพิเศษ น้ำซุปกลมกล่อม เป็นสุกี้ที่คนในย่าน และนิสิตจุฬาต่างต้องเคยลิ้มลอง
",เปิดให้บริการทุกวัน 11:00 - 23:00,https://maps.app.goo.gl/KGzjehVnRHggvA9g7,https://drive.google.com/open?id=1V-J1V-SRmzkLZ9avE8UQo_ZBSo5v07a1,,,,,,,,,,,,,,,,
21,เจ๊แหม่มอาหารตามสั่ง,C,หมูกรอบผัดผงกะหรี่,ร้านอาหารตามสั่งเมนูหลากหลาย อยากกินแบบไหนไม่ต้องกลัวไม่มี ขอแค่กล้าสั่ง รสชาติเข้มข้น ปริมาณคุ้มค่า ราคาเอาใจนิสิต และคนวัยทำงาน,เปิดให้บริการทุกวัน 10:30 - 21:30,https://maps.app.goo.gl/nc47H6ZDR1Hr8tM36,https://drive.google.com/open?id=1sUS4-6mcNsaQCaPDENrBoKPKXWSEWhHD,,,,,,,,,,,,,,,,
22,เจ๊แอนคอหมูย่าง,C,"คอหมูย่าง , ส้มตำไทยไข่เค็ม , ต้มแซ่บกระดูกอ่อน , คอหมูน้ำตก",เป็นร้านอาหารอีสานเก่าแก่ที่เปิดมานานถึง 50 ปี ที่มีเมนูเด็ดคือคอหมูย่าง-คอหมูทอดที่เสิร์ฟคู่กับน้ำจิ้มมะขามสูตรเด็ด กินคู่กับข้าวเหนียวรับรองว่านัวสุดๆ ราคาไม่แพงเข้าถึงง่าย,เปิดบริการทุกวัน 11:00 - 22:00,https://maps.app.goo.gl/EuoYqV18Q4x2inrJ6,https://drive.google.com/file/d/1cVIq5qeq15_IIhpCEfLmH6SiI-yC53CM/view?usp=drive_link,,,,,,,,,,,,,,,,
